"area_name","area_code","date","new_cases","total_cases"
"Islington","E09000019",2020-09-10,4,753
"Kensington and Chelsea","E09000020",2020-09-10,9,781
"Kingston upon Thames","E09000021",2020-09-10,6,876
"Lambeth","E09000022",2020-09-10,12,1734
"Lewisham","E09000023",2020-09-10,6,1444
"Merton","E09000024",2020-09-10,9,1084
"Newham","E09000025",2020-09-10,18,1663
"Redbridge","E09000026",2020-09-10,17,1478
"Richmond upon Thames","E09000027",2020-09-10,6,733
"Southwark","E09000028",2020-09-10,13,1762
"Sutton","E09000029",2020-09-10,3,1129
"Tower Hamlets","E09000030",2020-09-10,14,1190
"Waltham Forest","E09000031",2020-09-10,14,1276
"Wandsworth","E09000032",2020-09-10,22,1572
"Westminster","E09000033",2020-09-10,11,1058
"Barking and Dagenham","E09000002",2020-09-11,12,995
"Barnet","E09000003",2020-09-11,13,2083
"Bexley","E09000004",2020-09-11,8,1240
"Brent","E09000005",2020-09-11,6,2064
"Bromley","E09000006",2020-09-11,5,1759
"Camden","E09000007",2020-09-11,11,919
"Croydon","E09000008",2020-09-11,6,2135
"Ealing","E09000009",2020-09-11,10,1976
"Enfield","E09000010",2020-09-11,9,1523
"Greenwich","E09000011",2020-09-11,11,1156
"Hackney and City of London","E09000012",2020-09-11,10,1315
"Hammersmith and Fulham","E09000013",2020-09-11,5,1014
"Haringey","E09000014",2020-09-11,23,1062
"Harrow","E09000015",2020-09-11,6,1572
"Havering","E09000016",2020-09-11,20,1274
"Hillingdon","E09000017",2020-09-11,8,1451
"Hounslow","E09000018",2020-09-11,13,1461
"Islington","E09000019",2020-09-11,6,759
"Kensington and Chelsea","E09000020",2020-09-11,10,791
"Kingston upon Thames","E09000021",2020-09-11,4,880
"Lambeth","E09000022",2020-09-11,10,1744
"Lewisham","E09000023",2020-09-11,9,1453
"Merton","E09000024",2020-09-11,4,1088
"Newham","E09000025",2020-09-11,14,1677
"Redbridge","E09000026",2020-09-11,33,1511
"Richmond upon Thames","E09000027",2020-09-11,2,735
"Southwark","E09000028",2020-09-11,10,1772
"Sutton","E09000029",2020-09-11,6,1135
"Tower Hamlets","E09000030",2020-09-11,14,1204
"Waltham Forest","E09000031",2020-09-11,15,1291
"Wandsworth","E09000032",2020-09-11,15,1587
"Westminster","E09000033",2020-09-11,4,1062
"Barking and Dagenham","E09000002",2020-09-12,9,1004
"Barnet","E09000003",2020-09-12,6,2089
"Bexley","E09000004",2020-09-12,1,1241
"Brent","E09000005",2020-09-12,9,2073
"Bromley","E09000006",2020-09-12,1,1760
"Camden","E09000007",2020-09-12,9,928
"Croydon","E09000008",2020-09-12,3,2138
"Ealing","E09000009",2020-09-12,13,1989
"Enfield","E09000010",2020-09-12,8,1531
"Greenwich","E09000011",2020-09-12,15,1171
"Hackney and City of London","E09000012",2020-09-12,8,1323
"Hammersmith and Fulham","E09000013",2020-09-12,10,1024
"Haringey","E09000014",2020-09-12,6,1068
"Harrow","E09000015",2020-09-12,4,1576
"Havering","E09000016",2020-09-12,5,1279
"Hillingdon","E09000017",2020-09-12,7,1458
"Hounslow","E09000018",2020-09-12,11,1472
"Islington","E09000019",2020-09-12,6,765
"Kensington and Chelsea","E09000020",2020-09-12,2,793
"Kingston upon Thames","E09000021",2020-09-12,10,890
"Lambeth","E09000022",2020-09-12,5,1749
"Lewisham","E09000023",2020-09-12,5,1458
"Merton","E09000024",2020-09-12,4,1092
"Newham","E09000025",2020-09-12,18,1695
"Redbridge","E09000026",2020-09-12,7,1518
"Richmond upon Thames","E09000027",2020-09-12,7,742
"Southwark","E09000028",2020-09-12,3,1775
"Sutton","E09000029",2020-09-12,6,1141
"Tower Hamlets","E09000030",2020-09-12,8,1212
"Waltham Forest","E09000031",2020-09-12,16,1307
